YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,WD10M,UVA,Wind Energy,Solar Energy
2021,4,17,7.15,7.02,24.11,28.25,93.81,4.25,124.06,16.26,233.6221658,248.778
2021,4,18,7.66,6.51,25.21,26.75,93.96,2.87,158.19,15.42,157.4333582,235.926
2021,4,19,7.53,7.43,27.09,19.5,93.84,3.33,154.75,17.23,181.290954,263.619
2021,4,20,7.69,6.7,28.11,21.12,93.56,4.05,167.44,15.39,219.0868029,235.467
2021,4,21,7.46,7.03,28.54,31.12,93.49,3.48,197.19,16.2,187.8434006,247.86
2021,4,22,7.38,6.32,24.64,35.94,93.72,5.11,179.81,14.09,280.1273568,215.577
2021,4,23,7.42,5.62,25.46,39.31,93.69,3.88,89.56,12.7,212.0474578,194.31
2021,4,24,7.42,6.31,27.01,22.94,93.41,5.52,96.81,14.02,299.2210112,214.506
2021,4,25,7.33,6.13,26.37,23.31,93.21,3.83,159.25,13.92,207.6098277,212.976
2021,4,26,7.66,7.53,27.88,22.56,92.97,6.09,245.06,17.21,327.6142609,263.313
2021,4,27,7.94,7.91,22.37,27,93.33,4.73,307,18.65,260.200413,285.345
2021,4,28,8.14,7.94,23.12,16.06,93.66,3.57,311.56,18.62,196.5835372,284.886
2021,4,29,8.24,8.23,24.68,14.88,93.78,2.87,135.25,19.39,157.4113838,296.667
2021,4,30,8.05,7.98,27.58,16.31,93.63,1.9,228.88,18.59,103.0396377,284.427
2021,5,1,8.03,8.01,26.48,18.31,93.46,4.86,244.06,18.96,264.051844,290.088
2021,5,2,8.18,8.08,25.08,19.75,93.35,5.24,186.69,19.28,285.6976933,294.984
2021,5,3,8.09,7.89,25.02,19.12,93.3,5.38,204.5,18.38,293.2327189,281.214
2021,5,4,8.17,7.97,26.9,19.5,93.22,3.23,85.5,19.26,174.7955785,294.678
2021,5,5,7.97,7.77,29.15,16.62,93.23,5.18,310.88,18.34,278.2657467,280.602
2021,5,6,8.36,8.24,28.1,16.31,93.37,5.47,308,19.95,295.3113117,305.235
2021,5,7,8.03,6.94,26.08,22.88,93.45,5.55,310.44,16.22,301.9114677,248.166
2021,5,8,8.3,8.26,26.5,19.56,93.57,2.45,122.44,19.47,133.2603302,297.891
2021,5,9,8.24,8.17,28.89,13.38,93.39,2.49,190.56,19.21,134.1058472,293.913
2021,5,10,8.12,8,30.05,18.25,93.21,2.73,212.5,19.05,146.1868847,291.465
2021,5,11,7.82,6.63,29.92,22.31,93.05,2.77,221.5,15.64,148.1377182,239.292
2021,5,12,7.8,7.44,29.99,17.19,92.96,3.48,253.25,17.48,185.8850942,267.444
